repository,title,artifact_type,analysis_language,related_doi,related_pmid,data_availability,license_status,public_url,live_url,live_label,archived,default_branch,latest_release
reblocke/abg-vbg-project,ABG versus VBG Project,active research code,,,,Restricted clinical data are not public.,MIT,https://github.com/reblocke/abg-vbg-project,,,false,main,v0.1.0
reblocke/AOM-and-Bari-Surg-for-OSA-SRMA,Weight Loss and OSA Meta-analysis,systematic review and meta-analysis,Stata,10.1111/obr.13697,38342767,Study-level extraction data only; no patient-level data.,MIT,https://github.com/reblocke/AOM-and-Bari-Surg-for-OSA-SRMA,,,false,main,stata-baseline-v1
reblocke/Bari-CPAP,Bariatric Surgery and CPAP Analysis,legacy analysis code,Python,,,Restricted clinical sleep-center data are not public.,Unconfirmed,https://github.com/reblocke/Bari-CPAP,,,false,master,legacy-ats2022-aggregate-outputs-2026-06-04
reblocke/clinical_talks,Clinical Talks,teaching site,Quarto,,,Teaching materials only.,MIT,https://github.com/reblocke/clinical_talks,,,false,main,
reblocke/code-seminar-analysis,Inpatient Emergency Leadership Seminar Analysis,educational evaluation,R and Quarto,10.1164/ajrccm.2025.211.abstracts.a5624,,No trainee identifiers are published.,MIT,https://github.com/reblocke/code-seminar-analysis,,,false,main,
reblocke/conf_curve_likelihood,Confidence Curves and Likelihood,statistical visualization tool,Python,,,No clinical data.,MIT,https://github.com/reblocke/conf_curve_likelihood,https://reblocke.github.io/conf_curve_likelihood/,Live tool,false,main,v0.2.7
reblocke/CPAPOutcomes,Electronic Health Record-derived CPAP Outcomes,reproducible analysis,Python,10.5664/jcsm.9750,,Restricted EHR-derived data are not public.,Unconfirmed,https://github.com/reblocke/CPAPOutcomes,,,false,master,
reblocke/CSA,Central Sleep Apnea Legacy Python Workflow,legacy analysis code,Python,10.1007/s00408-023-00657-z,37987861,Restricted clinical data are not public; only synthetic fixtures are included.,MIT,https://github.com/reblocke/CSA,,,false,master,legacy-python-outputs-2026-06-03
reblocke/CSA-CPAP-Prescribing,Central Sleep Apnea CPAP Prescribing,reproducible analysis,Stata,10.1007/s00408-023-00657-z,37987861,Restricted clinical sleep-center data are not public.,MIT,https://github.com/reblocke/CSA-CPAP-Prescribing,,,false,main,
reblocke/CTPA-Dose-Response,Pulmonary Artery Enlargement and Mortality,reproducible analysis,,10.1002/pul2.12225,,Restricted imaging and EHR data are not public.,Unconfirmed,https://github.com/reblocke/CTPA-Dose-Response,,,false,main,legacy-rendered-artifacts-2026-06-04
reblocke/dx_chat_entropy,Diagnostic Chat Entropy,research code,Python,10.1038/s41598-025-29069-0,41276591,No private chat transcripts are published.,MIT,https://github.com/reblocke/dx_chat_entropy,,,false,main,
reblocke/fellow_stats,PCCM Fellows Statistics Workshop,teaching site,,,,Teaching materials only.,MIT,https://github.com/reblocke/fellow_stats,,,false,main,
